TimeSlot,InTime,OutTime,Duration
1,0:0:2:244,0:0:29:562,0:0:27:317
2,0:0:35:183,0:0:39:268,0:0:4:84
3,0:0:39:764,0:0:40:220,0:0:0:455
4,0:0:40:653,0:0:48:593,0:0:7:940
5,0:0:49:482,0:0:50:284,0:0:0:802
6,0:0:53:935,0:2:10:824,0:1:16:889
7,0:2:11:304,0:2:12:832,0:0:1:527
8,0:2:13:365,0:2:18:254,0:0:4:889
9,0:2:18:888,0:2:22:487,0:0:3:599
10,0:2:23:119,0:2:45:756,0:0:22:637
11,0:2:46:374,0:2:54:973,0:0:8:598
12,0:2:55:475,0:2:59:806,0:0:4:330
13,0:3:0:425,0:3:14:880,0:0:14:455
14,0:3:15:919,0:3:17:996,0:0:2:76
15,0:3:19:307,0:3:20:511,0:0:1:203
16,0:3:21:82,0:3:22:834,0:0:1:752
17,0:3:24:293,0:3:28:308,0:0:4:14
18,0:3:30:616,0:3:31:890,0:0:1:274
19,0:3:32:438,0:3:37:5,0:0:4:566
20,0:3:40:448,0:3:47:103,0:0:6:654
21,0:3:47:437,0:3:48:276,0:0:0:839
22,0:3:49:613,0:3:53:64,0:0:3:451
23,0:3:53:650,0:3:55:689,0:0:2:38
24,0:3:56:146,0:3:59:72,0:0:2:926
25,0:3:59:405,0:4:0:593,0:0:1:188
26,0:4:1:281,0:4:1:815,0:0:0:534
27,0:4:2:401,0:4:6:316,0:0:3:914
28,0:4:6:749,0:4:11:743,0:0:4:994
29,0:4:13:11,0:4:15:421,0:0:2:410
30,0:4:20:4,0:4:21:286,0:0:1:282
31,0:4:22:337,0:4:26:164,0:0:3:826
32,0:4:27:648,0:4:31:646,0:0:3:998
33,0:4:32:317,0:4:36:63,0:0:3:745
34,0:4:38:145,0:4:38:658,0:0:0:513
35,0:4:39:122,0:4:41:368,0:0:2:245
36,0:4:42:75,0:4:51:190,0:0:9:115
